lot_area,overall_qual,totrms_abvgrd,saleprice
12227,6,11,272000
9248,6,6,173000
20270,7,7,245000
7200,5,4,140000
9965,7,10,383970
16012,4,6,125000
8445,5,5,133000
9612,8,6,244600
10180,5,5,139000
7584,5,5,112900
4800,5,6,111000
11900,6,6,166000
7399,7,7,239000
8940,7,8,209200
12243,5,7,175000
12878,7,8,269500
12460,7,8,225000
6563,8,5,275000
9492,5,6,105000
13400,5,6,159950
10410,5,8,135000
14333,8,7,345474
6000,5,7,102000
20693,7,7,198000
10800,8,8,339750
10800,5,7,170000
7200,5,5,94000
8581,7,7,203160
10625,7,8,291000
8068,6,8,200000
8917,5,8,119000
3636,4,5,55000
7500,7,7,205000
1680,6,6,108000
25000,5,8,143000
15863,7,12,197000
8125,7,7,205950
11700,6,7,175000
8010,8,8,301000
5001,7,6,230000
3136,7,6,171750
5400,7,5,120000
6120,5,7,110000
11479,6,6,144500
9457,5,7,155000
11340,6,7,125000
7200,7,5,156500
8471,6,6,151000
10454,6,5,135000
1484,4,5,79400
6904,6,6,213000
14191,8,9,202900
9531,6,7,211000
8513,5,10,130000
6171,6,7,137450
9991,4,8,150000
9084,5,5,95000
2280,7,6,179400
10411,5,8,212109
8500,5,6,98600
17541,5,6,216000
9545,8,7,300000
14000,7,7,328000
10500,5,5,139000
13050,5,4,164000
1782,6,5,123900
7207,5,4,116500
10943,6,5,177000
4330,4,5,99500
11660,6,6,174190
3180,7,4,151000
4435,6,4,143750
7689,5,4,131900
8286,5,6,157000
10690,5,6,147000
7795,7,6,188500
7052,7,6,185850
9308,5,5,126000
8125,5,5,118000
8035,9,6,319900
7937,6,6,142500
9600,5,6,129900
6955,7,6,202500
21370,5,7,131000
10126,6,8,185000
2364,6,6,138000
3600,6,7,114504
8741,6,7,113000
5436,4,7,125500
14149,5,5,165000
5000,5,6,79000
2544,6,4,152000
5000,6,7,159000
12493,4,6,141000
10368,6,7,167000
6360,5,7,132000
10357,7,6,179900
9819,5,5,122000
7936,6,6,127000
8773,6,4,190000
11235,5,6,158450
12886,5,6,175000
14892,9,7,377500
6240,5,7,138400
11645,7,7,260000
14977,8,7,440000
9100,7,6,178000
8400,5,5,138500
7420,5,6,132000
9525,6,7,149900
7425,7,8,108000
7990,5,5,110000
1300,6,5,124000
5500,4,4,103200
3606,7,5,194000
8978,5,6,108000
9079,5,5,122000
1700,7,7,148400
9571,5,5,60000
9938,7,7,226500
9000,2,4,35311
7840,6,4,127500
12395,5,6,137500
9638,6,6,147000
13418,8,9,309000
17597,7,7,315000
8872,5,5,147000
3982,8,7,264561
7134,5,6,130000
2117,6,5,177000
8155,5,7,119000
5500,7,4,157000
11553,5,7,158000
7150,4,7,115000
6285,5,5,120750
7500,7,7,216000
2001,4,6,75000
19508,6,6,192000
7176,6,6,160500
10652,7,7,279500
11235,5,6,148000
10265,5,6,145000
14541,8,10,310000
10184,6,6,165000
46589,8,8,402000
10625,7,9,250000
1470,4,3,73000
9000,5,8,136000
5911,9,6,282500
8987,8,6,221500
17871,4,7,170000
11500,6,6,163000
12257,8,9,290000
9044,8,8,330000
1680,6,5,111000
9468,6,7,214000
9373,5,6,137500
7000,7,7,240900
10186,7,8,190000
11664,7,6,250000
10768,5,6,218000
10530,7,8,255000
14859,7,7,240000
10481,8,8,360000
9350,5,6,179900
18030,5,12,200500
5925,3,6,37900
6718,8,5,180500
11855,7,8,269500
12394,7,7,225000
7000,6,6,141000
10367,9,8,335000
15240,5,5,150000
50271,9,5,385000
13600,7,7,205000
6762,7,6,206000
8500,7,7,179600
8877,4,6,102000
15611,5,6,175000
13300,5,6,159000
6500,6,6,135000
9525,6,7,136900
6993,5,6,135000
9430,8,8,337000
11029,6,9,250000
14311,8,9,306000
10800,5,5,179000
3604,7,5,146000
10320,6,7,161000
10603,6,6,205000
4084,7,6,241500
7943,4,5,118500
6930,5,6,130000
7200,5,5,130000
16052,10,11,535000
7150,5,6,123000
6012,4,6,82000
5350,7,7,132000
5400,5,4,108480
9535,5,7,165000
7441,7,7,181000
15400,5,8,165000
10544,5,8,161000
10936,8,7,199000
11316,7,8,214900
8640,8,5,198600
12090,8,10,258000
7939,7,8,269500
7750,7,6,176000
9350,6,7,158000
7750,8,7,184100
13001,6,6,170000
13607,6,6,208000
4435,6,4,140000
3843,8,5,230000
5950,8,5,188500
12400,5,7,194000
10425,5,5,133000
16269,5,5,140000
8998,7,6,207500
10400,6,8,256900
10134,5,5,109000
7007,5,8,113722
11645,8,7,237000
8250,5,6,142100
11027,6,5,149900
12350,9,7,404000
18275,7,9,277500
9206,6,7,178000
6240,8,6,254000
9656,2,5,12789
7875,7,6,176000
16259,9,9,342643
6173,5,6,125500
12890,6,8,150000
10440,8,6,261329
7500,7,6,141000
9532,4,6,153000
3922,7,6,172500
8730,6,7,153575
6060,5,5,124900
14450,9,8,415298
5400,6,6,119000
10000,8,7,227000
10007,5,5,145500
7830,3,3,61500
11727,7,8,192100
10320,6,7,116000
10482,6,6,145000
15274,9,10,445000
8800,5,5,150500
10000,6,7,175900
10140,6,6,167900
14054,7,9,219210
11218,6,8,189000
8856,5,6,136500
7800,5,5,137900
7200,5,4,85000
10680,5,7,137900
9535,6,7,195500
6858,6,6,128000
8100,5,5,135000
9216,5,5,143195
9100,5,4,79500
12774,7,8,192500
6000,5,6,129500
10364,6,7,168000
6000,6,7,105000
10530,6,5,143250
9525,5,6,144000
8880,7,8,205000
8410,6,5,143000
4385,9,5,290000
12919,9,11,611657
12464,5,6,152000
5005,8,5,191500
9591,8,9,317000
6960,7,6,165250
9825,5,6,123000
14175,6,4,185000
7400,7,6,120000
10738,6,6,158500
8366,6,6,173000
9842,4,6,101800
7200,7,6,155000
10230,5,6,125000
8626,4,5,104500
8834,9,10,350000
8544,3,6,93500
9179,7,7,193000
11526,6,11,191000
5684,6,5,110000
11885,8,7,261500
9600,5,5,128900
17242,9,11,584500
10215,4,5,111000
8550,5,7,90000
18450,6,7,129000
14778,6,7,224000
3180,6,5,165000
3068,6,6,122000
8298,8,6,267300
13518,9,11,485000
33120,6,8,220000
13142,6,6,215700
11362,8,7,280000
10845,8,7,284000
1936,4,3,84500
9760,6,7,192000
3960,7,5,105000
9100,7,8,216837
9600,5,6,141500
9764,5,5,130000
8430,5,5,124000
9060,5,6,150909
12778,5,4,139500
8172,4,5,79275
9037,8,6,265900
6292,6,4,91000
11900,5,6,185000
7945,5,6,141000
16659,8,7,260116
9340,4,4,113000
11454,8,6,225000
8480,5,4,113000
6305,6,5,125200
9709,8,8,319500
10930,5,6,140000
50102,6,6,250764
8899,8,10,250000
10237,6,6,176000
9736,6,8,174850
2364,6,7,147000
7892,6,5,99500
12350,9,8,398800
7917,6,7,175000
7200,5,4,109500
12155,6,7,163500
7446,4,4,100000
11025,8,9,334000
7832,5,4,137250
19378,7,9,320000
9830,5,7,162000
4403,7,7,222000
8174,7,7,178000
7200,5,4,119000
7590,5,8,169500
8795,7,8,236000
3843,8,5,294464
11075,6,9,206900
10142,7,8,233000
7741,6,5,108000
8139,6,7,165000
8982,5,5,134900
6120,5,5,113000
16561,5,6,147900
4060,5,4,99900
2308,6,7,143000
6240,6,6,114500
8789,5,6,129200
5587,8,5,392500
9042,7,9,266500
8923,7,7,177500
12518,5,6,139500
11069,6,6,170000
8800,6,8,224500
13262,8,10,290000
7758,7,7,169500
12118,7,7,240000
9600,5,6,144000
9500,6,9,165000
7175,6,5,145000
11200,5,5,114000
14226,8,9,395000
2760,6,6,105500
11050,8,8,254900
7200,5,6,102000
12420,7,6,230000
6120,5,8,137500
7111,5,5,138000
19255,6,5,156500
8120,4,5,124500
11952,7,8,190000
3182,7,6,159895
9842,5,8,189000
8020,5,6,124000
11341,5,5,121500
12436,5,9,146000
12192,7,6,235000
3842,8,5,300000
1936,4,5,90500
13101,5,10,142600
9808,7,6,227000
17227,8,5,246900
5280,4,6,89000
11792,4,5,64000
3876,8,4,170000
13891,9,12,582933
6000,6,5,110500
8240,6,5,110000
9405,5,4,118000
10625,7,8,284000
9247,6,8,171000
10628,7,8,193000
11000,5,6,135000
9399,7,7,167000
7200,4,5,105000
10264,7,6,214000
13215,8,9,279000
10530,6,8,184500
6000,3,6,120000
7703,6,6,171500
4251,7,5,164700
12128,6,9,209000
3072,7,7,225000
8410,5,8,81000
15218,8,6,336820
14364,7,7,277000
8680,5,5,117600
9600,6,6,140000
11778,9,8,395039
15810,6,7,181755
11024,7,6,186800
8970,5,7,177500
10800,4,5,64500
4835,7,6,260000
3710,7,6,185485
6120,5,5,105000
9600,6,7,187000
14145,7,8,202500
9926,7,7,245700
8012,6,5,128000
10240,8,8,275500
10762,7,9,225000
8000,5,6,138000
1680,6,6,88000
13693,9,9,380000
10625,8,7,256000
7200,5,5,134800
1612,6,5,121000
10207,7,7,227875
10475,8,7,245350
5976,5,8,93500
10625,5,5,83000
53107,6,9,240000
5680,5,7,113000
12400,6,6,155000
6768,6,5,142000
6000,6,4,119000
12508,6,7,160000
7415,6,8,193000
11762,8,9,263000
8767,7,6,164990
8190,4,5,119000
7500,8,6,238500
70761,7,5,280000
3784,8,5,193800
4224,5,6,129900
9245,5,5,145000
14781,8,7,275000
8544,3,6,81400
7440,5,5,125000
7404,4,5,80000
4853,5,5,104000
10593,7,7,260400
12090,7,6,176000
11677,5,6,123000
11000,9,8,291000
8000,6,5,132000
8029,6,8,176000
13495,5,7,177625
9738,5,7,104900
9272,7,7,196000
7841,9,6,280000
8530,7,7,168500
13041,6,7,170000
43500,3,9,130000
6240,7,7,150000
13015,5,5,145000
9297,5,8,188000
8773,6,7,169000
8536,5,5,155000
4282,7,5,196000
8740,7,8,219500
10237,6,8,170440
7950,6,6,159500
10400,7,7,174000
10628,7,5,167000
2280,6,7,148500
7018,5,8,147983
10762,6,6,120000
7024,5,5,157000
7585,5,7,91500
8777,5,4,85000
9170,5,6,140000
7742,5,6,127000
8791,6,7,207500
19800,6,7,415000
13339,6,6,193000
8125,6,6,174000
11419,7,6,152500
7226,7,6,183000
11100,5,7,136500
12435,7,7,231500
6420,5,6,123500
16466,5,8,135500
6285,6,7,133500
9204,5,6,124000
12011,8,7,280000
14774,9,10,333168
11792,8,9,270000
8064,6,5,128500
7175,6,5,172000
10820,5,4,130000
5381,6,5,196000
5000,5,5,87000
8674,5,6,128250
13175,6,7,210000
11275,6,7,220000
9600,4,4,128000
9000,5,6,135000
9990,4,6,228500
6000,6,5,134000
10533,6,5,157500
11692,8,8,263550
12546,6,7,182900
21695,6,5,222000
9278,5,5,146000
8100,5,5,153500
16737,9,8,315000
9200,8,8,315000
9801,8,7,257000
14137,4,6,173000
14762,5,7,169000
15262,8,8,382500
9742,8,7,230000
8532,5,5,153000
10634,5,5,123000
14753,7,5,207000
18386,7,10,295000
12450,5,6,149000
7851,6,8,216500
5175,5,5,112000
8398,5,5,134500
3710,7,5,187687
7500,4,6,68400
8010,6,6,143500
12800,7,5,275000
11070,7,9,171000
12224,6,7,244000
6953,5,5,130000
11824,8,5,253000
4118,4,4,52500
3907,8,4,185000
8918,6,7,167800
9591,8,7,274900
14115,7,6,187500
9675,7,8,253000
1974,4,5,105000
11475,6,7,174500
21533,7,9,210900
9350,4,8,127000
8198,7,6,207000
13250,7,8,154000
51974,9,8,591587
22136,5,10,180000
8944,5,8,124000
9839,6,7,204000
6292,7,6,145000
9680,5,6,178900
9452,8,7,348000
9144,6,8,162500
8425,5,6,119900
9084,7,8,176500
7420,5,5,118000
7677,5,4,110000
16770,7,7,221000
16545,8,7,340000
11414,7,8,167500
13501,8,8,255000
9434,7,6,170000
3675,5,5,145000
1890,4,3,81000
11029,6,6,176500
10084,8,7,307000
9543,7,7,190550
13005,7,10,260000
2280,7,4,137500
12712,6,5,147000
10000,5,6,131400
10574,8,9,316000
9400,6,8,139000
9802,5,6,172500
13132,5,9,138887
13728,6,7,235000
6600,5,5,109500
10320,4,7,107000
14006,7,7,192500
16635,6,8,215000
8398,6,6,144100
9100,6,5,127500
14171,7,9,225000
13891,8,6,372402
12968,5,4,144000
2280,6,6,176500
7000,6,6,112000
1680,6,5,100000
2217,4,6,88000
11500,5,8,136905
7200,4,5,97500
12366,3,5,51689
10721,6,7,142000
10732,8,7,250000
10791,6,9,243500
5122,6,5,184500
9928,7,6,210000
7791,5,6,129000
8154,2,4,82000
10839,6,7,181000
9045,5,6,167000
10852,6,7,173000
8400,7,6,195800
16381,6,7,223000
12304,7,6,192000
11584,7,6,197000
10672,8,10,298236
7230,7,8,238000
8512,5,8,119000
20781,7,9,262500
12633,9,7,425000
8712,4,7,102776
12537,5,6,149900
9620,6,6,190000
3907,8,5,162500
9236,6,6,217000
11600,4,5,137500
10603,8,8,270000
13350,5,5,142500
9200,6,5,161000
1495,4,5,93900
15593,7,7,225000
13688,9,10,412500
8248,4,8,83000
6000,6,6,128000
8453,6,6,182000
12444,8,7,394617
11449,8,7,298751
12342,4,4,82500
7558,6,9,177000
10400,4,6,144000
7500,7,7,189000
